NDTI_p0_peak,NDTI_p100_peak,NDTI_p25_peak,NDTI_p50_peak,NDTI_p75_peak
0.101674564,0.3244935,0.16788892,0.2490286,0.30688474
0.10546822,0.3680409,0.15968221,0.25748762,0.31718472
0.10546822,0.3680409,0.15968221,0.25748762,0.31718472
0.10546822,0.3680409,0.15968221,0.25748762,0.31718472
0.10679377,0.38136944,0.16570605,0.2678334,0.34262165
0.10546822,0.3680409,0.15968221,0.25748762,0.31718472
0.09524508,0.37766185,0.17166696,0.26766518,0.32862687
0.101674564,0.3244935,0.16788892,0.2490286,0.30688474
0.101674564,0.3244935,0.16788892,0.2490286,0.30688474
0.10679377,0.38136944,0.16570605,0.2678334,0.34262165
0.09997662,0.38501135,0.1810576,0.3367626,0.36124074
0.081984654,0.40007946,0.16611539,0.32796034,0.359005
0.09997662,0.38501135,0.1810576,0.3367626,0.36124074
0.07124268,0.38574502,0.16431832,0.32730407,0.35631165
0.051584493,0.39740795,0.15605202,0.32723722,0.35996103
0.097748585,0.38902754,0.16713224,0.3198219,0.35713944
0.081984654,0.40007946,0.16611539,0.32796034,0.359005
0.053373147,0.39023888,0.11891831,0.334923,0.36272192
0.09997662,0.38501135,0.1810576,0.3367626,0.36124074
0.08619541,0.39177337,0.13442363,0.32712004,0.35700792
0.030379588,0.22848764,0.07982234,0.1472232,0.20689659
0.030379588,0.22848764,0.07982234,0.1472232,0.20689659
0.073023915,0.20967504,0.08919481,0.14316966,0.19846088
0.0772254,0.25242254,0.11652785,0.15781716,0.1998966
-0.029733289,0.21806075,0.09216249,0.15358284,0.1885086
0.03920457,0.21280338,0.09091185,0.14447984,0.19121967
0.083403535,0.22369324,0.13400266,0.1503406,0.17202587
-0.023337832,0.23961924,0.12572785,0.174817,0.2013708
0.062503256,0.2215934,0.10514216,0.16494228,0.1914974
-0.029733289,0.21806075,0.09216249,0.15358284,0.1885086
0.033802588,0.37177992,0.09500799,0.29280126,0.3149324
0.04222171,0.37295437,0.09612968,0.24051152,0.30400056
0.04222171,0.37295437,0.09612968,0.24051152,0.30400056
0.059740305,0.3485113,0.102863304,0.19584706,0.2582861
0.059740305,0.3485113,0.102863304,0.19584706,0.2582861
0.04222171,0.37295437,0.09612968,0.24051152,0.30400056
0.04307569,0.3800152,0.08879585,0.25668806,0.31019467
0.0367109,0.38136166,0.09280079,0.28496486,0.31790403
0.04222171,0.37295437,0.09612968,0.24051152,0.30400056
